Abstract,Arxiv Link,Github Link,ID,Title
"  Discourse structures are beneficial for various NLP tasks such as dialogue
understanding, question answering, sentiment analysis, and so on. This paper
presents a deep sequential model for parsing discourse dependency structures of
multi-party dialogues. The proposed model aims to construct a discourse
dependency tree by predicting dependency relations and constructing the
discourse structure jointly and alternately. It makes a sequential scan of the
Elementary Discourse Units (EDUs) in a dialogue. For each EDU, the model
decides to which previous EDU the current one should link and what the
corresponding relation type is. The predicted link and relation type are then
used to build the discourse structure incrementally with a structured encoder.
During link prediction and relation classification, the model utilizes not only
local information that represents the concerned EDUs, but also global
information that encodes the EDU sequence and the discourse structure that is
already built at the current step. Experiments show that the proposed model
outperforms all the state-of-the-art baselines.
",http://arxiv.org/abs/1812.00176,github.com/irit-melodi/irit-stac,1812.00176,A Deep Sequential Model for Discourse Parsing on Multi-Party Dialogues
"  Learning good representations is of crucial importance in deep learning.
Mutual Information (MI) or similar measures of statistical dependence are
promising tools for learning these representations in an unsupervised way. Even
though the mutual information between two random variables is hard to measure
directly in high dimensional spaces, some recent studies have shown that an
implicit optimization of MI can be achieved with an encoder-discriminator
architecture similar to that of Generative Adversarial Networks (GANs). In this
work, we learn representations that capture speaker identities by maximizing
the mutual information between the encoded representations of chunks of speech
randomly sampled from the same sentence. The proposed encoder relies on the
SincNet architecture and transforms raw speech waveform into a compact feature
vector. The discriminator is fed by either positive samples (of the joint
distribution of encoded chunks) or negative samples (from the product of the
marginals) and is trained to separate them. We report experiments showing that
this approach effectively learns useful speaker representations, leading to
promising results on speaker identification and verification tasks. Our
experiments consider both unsupervised and semi-supervised settings and compare
the performance achieved with different objective functions.
",http://arxiv.org/abs/1812.00271,github.com/mravanelli/SincNet/,1812.00271,Learning Speaker Representations with Mutual Information
"  The explosive growth in fake news and its erosion to democracy, justice, and
public trust has increased the demand for fake news analysis, detection and
intervention. This survey comprehensively and systematically reviews fake news
research. The survey identifies and specifies fundamental theories across
various disciplines, e.g., psychology and social science, to facilitate and
enhance the interdisciplinary research of fake news. Current fake news research
is reviewed, summarized and evaluated. These studies focus on fake news from
four perspective: (1) the false knowledge it carries, (2) its writing style,
(3) its propagation patterns, and (4) the credibility of its creators and
spreaders. We characterize each perspective with various analyzable and
utilizable information provided by news and its spreaders, various strategies
and frameworks that are adaptable, and techniques that are applicable. By
reviewing the characteristics of fake news and open issues in fake news
studies, we highlight some potential research tasks at the end of this survey.
",http://arxiv.org/abs/1812.00315,github.com/borisveytsman/acmart/issues/138,1812.00315,"Fake News: A Survey of Research, Detection Methods, and Opportunities"
"  The amount of dialogue history to include in a conversational agent is often
underestimated and/or set in an empirical and thus possibly naive way. This
suggests that principled investigations into optimal context windows are
urgently needed given that the amount of dialogue history and corresponding
representations can play an important role in the overall performance of a
conversational system. This paper studies the amount of history required by
conversational agents for reliably predicting dialogue rewards. The task of
dialogue reward prediction is chosen for investigating the effects of varying
amounts of dialogue history and their impact on system performance.
Experimental results using a dataset of 18K human-human dialogues report that
lengthy dialogue histories of at least 10 sentences are preferred (25 sentences
being the best in our experiments) over short ones, and that lengthy histories
are useful for training dialogue reward predictors with strong positive
correlations between target dialogue rewards and predicted ones.
",http://arxiv.org/abs/1812.00350,github.com/keras-team/keras,1812.00350,"A Study on Dialogue Reward Prediction for Open-Ended Conversational
  Agents"
"  Detecting controversy in general web pages is a daunting task, but
increasingly essential to efficiently moderate discussions and effectively
filter problematic content. Unfortunately, controversies occur across many
topics and domains, with great changes over time. This paper investigates
neural classifiers as a more robust methodology for controversy detection in
general web pages. Current models have often cast controversy detection on
general web pages as Wikipedia linking, or exact lexical matching tasks. The
diverse and changing nature of controversies suggest that semantic approaches
are better able to detect controversy. We train neural networks that can
capture semantic information from texts using weak signal data. By leveraging
the semantic properties of word embeddings we robustly improve on existing
controversy detection methods. To evaluate model stability over time and to
unseen topics, we asses model performance under varying training conditions to
test cross-temporal, cross-topic, cross-domain performance and annotator
congruence. In doing so, we demonstrate that weak-signal based neural
approaches are closer to human estimates of controversy and are more robust to
the inherent variability of controversies.
",http://arxiv.org/abs/1812.00382,github.com/aboSamoor/polyglot,1812.00382,"Improved and Robust Controversy Detection in General Web Pages Using
  Semantic Approaches under Large Scale Conditions"
"  User representations are routinely used in recommendation systems by platform
developers, targeted advertisements by marketers, and by public policy
researchers to gauge public opinion across demographic groups. Computer
scientists consider the problem of inferring user representations more
abstractly; how does one extract a stable user representation - effective for
many downstream tasks - from a medium as noisy and complicated as social media?
  The quality of a user representation is ultimately task-dependent (e.g. does
it improve classifier performance, make more accurate recommendations in a
recommendation system) but there are proxies that are less sensitive to the
specific task. Is the representation predictive of latent properties such as a
person's demographic features, socioeconomic class, or mental health state? Is
it predictive of the user's future behavior?
  In this thesis, we begin by showing how user representations can be learned
from multiple types of user behavior on social media. We apply several
extensions of generalized canonical correlation analysis to learn these
representations and evaluate them at three tasks: predicting future hashtag
mentions, friending behavior, and demographic features. We then show how user
features can be employed as distant supervision to improve topic model fit.
Finally, we show how user features can be integrated into and improve existing
classifiers in the multitask learning framework. We treat user representations
- ground truth gender and mental health features - as auxiliary tasks to
improve mental health state prediction. We also use distributed user
representations learned in the first chapter to improve tweet-level stance
classifiers, showing that distant user information can inform classification
tasks at the granularity of a single message.
",http://arxiv.org/abs/1812.00436,github.com/myleott/ark-twokenize-py,1812.00436,Learning Representations of Social Media Users
"  Reviewing radiology reports in emergency departments is an essential but
laborious task. Timely follow-up of patients with abnormal cases in their
radiology reports may dramatically affect the patient's outcome, especially if
they have been discharged with a different initial diagnosis. Machine learning
approaches have been devised to expedite the process and detect the cases that
demand instant follow up. However, these approaches require a large amount of
labeled data to train reliable predictive models. Preparing such a large
dataset, which needs to be manually annotated by health professionals, is
costly and time-consuming. This paper investigates a semi-supervised learning
framework for radiology report classification across three hospitals. The main
goal is to leverage clinical unlabeled data in order to augment the learning
process where limited labeled data is available. To further improve the
classification performance, we also integrate a transfer learning technique
into the semi-supervised learning pipeline . Our experimental findings show
that (1) convolutional neural networks (CNNs), while being independent of any
problem-specific feature engineering, achieve significantly higher
effectiveness compared to conventional supervised learning approaches, (2)
leveraging unlabeled data in training a CNN-based classifier reduces the
dependency on labeled data by more than 50% to reach the same performance of a
fully supervised CNN, and (3) transferring the knowledge gained from available
labeled data in an external source hospital significantly improves the
performance of a semi-supervised CNN model over their fully supervised
counterparts in a target hospital.
",http://arxiv.org/abs/1812.00677,github.com/fchollet/keras,1812.00677,"Clinical Document Classification Using Labeled and Unlabeled Data Across
  Hospitals"
"  This paper presents an end-to-end response selection model for Track 1 of the
7th Dialogue System Technology Challenges (DSTC7). This task focuses on
selecting the correct next utterance from a set of candidates given a partial
conversation. We propose an end-to-end neural network based on enhanced
sequential inference model (ESIM) for this task. Our proposed model differs
from the original ESIM model in the following four aspects. First, a new word
representation method which combines the general pre-trained word embeddings
with those estimated on the task-specific training set is adopted in order to
address the challenge of out-of-vocabulary (OOV) words. Second, an attentive
hierarchical recurrent encoder (AHRE) is designed which is capable to encode
sentences hierarchically and generate more descriptive representations by
aggregation. Third, a new pooling method which combines multi-dimensional
pooling and last-state pooling is used instead of the simple combination of max
pooling and average pooling in the original ESIM. Last, a modification layer is
added before the softmax layer to emphasize the importance of the last
utterance in the context for response selection. In the released evaluation
results of DSTC7, our proposed method ranked second on the Ubuntu dataset and
third on the Advising dataset in subtask 1 of Track 1.
",http://arxiv.org/abs/1812.00686,github.com/JasonForJoy/DSTC7-ResponseSelection,1812.00686,Building Sequential Inference Models for End-to-End Response Selection
"  The latency in the current neural based dialogue state tracking models
prohibits them from being used efficiently for deployment in production
systems, albeit their highly accurate performance. This paper proposes a new
scalable and accurate neural dialogue state tracking model, based on the
recently proposed Global-Local Self-Attention encoder (GLAD) model by Zhong et
al. which uses global modules to share parameters between estimators for
different types (called slots) of dialogue states, and uses local modules to
learn slot-specific features. By using only one recurrent networks with global
conditioning, compared to (1 + \# slots) recurrent networks with global and
local conditioning used in the GLAD model, our proposed model reduces the
latency in training and inference times by $35\%$ on average, while preserving
performance of belief state tracking, by $97.38\%$ on turn request and
$88.51\%$ on joint goal and accuracy. Evaluation on Multi-domain dataset
(Multi-WoZ) also demonstrates that our model outperforms GLAD on turn inform
and joint goal accuracy.
",http://arxiv.org/abs/1812.00899,github.com/elnaaz/GCE-Model,1812.00899,Toward Scalable Neural Dialogue State Tracking Model
"  A significant amount of information in today's world is stored in structured
and semi-structured knowledge bases. Efficient and simple methods to query
these databases are essential and must not be restricted to only those who have
expertise in formal query languages. The field of semantic parsing deals with
converting natural language utterances to logical forms that can be easily
executed on a knowledge base. In this survey, we examine the various components
of a semantic parsing system and discuss prominent work ranging from the
initial rule based methods to the current neural approaches to program
synthesis. We also discuss methods that operate using varying levels of
supervision and highlight the key challenges involved in the learning of such
systems.
",http://arxiv.org/abs/1812.00978,st,1812.00978,A Survey on Semantic Parsing
